file,blank,ps1,ps2,multi,ice,badice,mos1,mos2,Y
fake_00001.pgm,0,1,0,0,1,0,0.8925280000000001,0.0,ps1+ice
fake_00002.pgm,0,0,1,1,0,0,0.581729,0.568217,ps2+multi
fake_00003.pgm,0,1,0,0,0,0,0.508285,0.0,ps1
fake_00004.pgm,0,1,0,0,0,0,0.8525889999999999,0.0,ps1
fake_00005.pgm,0,0,1,0,0,0,0.762097,0.0,ps2
fake_00006.pgm,0,0,1,0,0,0,0.52891,0.0,ps2
fake_00007.pgm,0,1,1,1,0,0,0.7574649999999999,0.8808790000000001,ps1+ps2+multi
fake_00008.pgm,0,1,0,0,0,0,0.626877,0.0,ps1
fake_00009.pgm,0,0,1,0,0,0,0.822517,0.0,ps2
fake_00010.pgm,0,1,0,0,1,1,0.540367,0.0,ps1+ice+badice
fake_00011.pgm,0,1,0,1,1,0,0.566821,0.899488,ps1+multi+ice
fake_00012.pgm,0,1,0,0,0,0,0.5976229999999999,0.0,ps1
fake_00013.pgm,0,1,0,0,0,0,0.704936,0.0,ps1
fake_00014.pgm,0,0,1,1,1,1,0.516343,0.681703,ps2+multi+ice+badice
fake_00015.pgm,0,0,1,0,0,0,0.6797949999999999,0.0,ps2
fake_00016.pgm,0,1,1,1,0,0,0.7080989999999999,0.8261879999999999,ps1+ps2+multi
fake_00017.pgm,0,1,1,1,0,0,0.871179,0.848007,ps1+ps2+multi
fake_00018.pgm,0,0,1,1,1,0,0.6650510000000001,0.669184,ps2+multi+ice
fake_00019.pgm,0,1,0,0,1,0,0.57504,0.0,ps1+ice
fake_00020.pgm,0,1,0,0,0,0,0.718486,0.0,ps1
fake_00021.pgm,0,1,1,1,0,0,0.9054409999999999,0.8375950000000001,ps1+ps2+multi
fake_00022.pgm,0,0,1,1,0,0,0.787698,0.943436,ps2+multi
fake_00023.pgm,0,1,0,0,1,0,0.5626770000000001,0.0,ps1+ice
fake_00024.pgm,0,1,0,0,0,0,0.6836260000000001,0.0,ps1
fake_00025.pgm,0,1,0,1,0,0,0.774749,0.735867,ps1+multi
fake_00026.pgm,0,0,1,0,0,0,0.7912100000000001,0.0,ps2
fake_00027.pgm,0,1,1,1,1,0,0.536121,0.717809,ps1+ps2+multi+ice
fake_00028.pgm,0,1,1,1,1,0,0.5645789999999999,0.5392,ps1+ps2+multi+ice
fake_00029.pgm,0,0,1,1,1,0,0.780373,0.514538,ps2+multi+ice
fake_00030.pgm,0,0,1,0,1,1,0.514538,0.0,ps2+ice+badice
fake_00031.pgm,0,1,0,0,1,0,0.649886,0.0,ps1+ice
fake_00032.pgm,0,0,1,0,0,0,0.713526,0.0,ps2
fake_00033.pgm,0,0,1,0,0,0,0.8329270000000001,0.0,ps2
fake_00034.pgm,0,1,0,0,0,0,0.853512,0.0,ps1
fake_00035.pgm,0,1,0,0,0,0,0.709734,0.0,ps1
fake_00036.pgm,0,0,1,0,0,0,0.731221,0.0,ps2
fake_00037.pgm,0,0,1,0,1,0,0.584911,0.0,ps2+ice
fake_00038.pgm,0,1,0,0,0,0,0.607471,0.0,ps1
fake_00039.pgm,0,1,0,0,0,0,0.7461869999999999,0.0,ps1
fake_00040.pgm,0,1,0,0,0,0,0.821887,0.0,ps1
fake_00041.pgm,0,0,1,0,0,0,0.9239280000000001,0.0,ps2
fake_00042.pgm,0,0,1,0,0,0,0.794041,0.0,ps2
fake_00043.pgm,0,1,0,0,0,0,0.9310729999999999,0.0,ps1
fake_00044.pgm,0,1,0,1,1,1,0.806242,0.9493940000000001,ps1+multi+ice+badice
fake_00045.pgm,0,1,0,1,0,0,0.674958,0.572249,ps1+multi
fake_00046.pgm,0,1,1,1,1,0,0.657767,0.778633,ps1+ps2+multi+ice
fake_00047.pgm,0,0,1,1,1,1,0.8227620000000001,0.710859,ps2+multi+ice+badice
fake_00048.pgm,0,1,1,1,0,0,0.795315,0.784011,ps1+ps2+multi
fake_00049.pgm,0,0,1,0,0,0,0.595622,0.0,ps2
fake_00050.pgm,0,0,1,0,1,0,0.6199680000000001,0.0,ps2+ice
fake_00051.pgm,0,0,1,0,1,1,0.674449,0.0,ps2+ice+badice
fake_00052.pgm,0,0,1,0,0,0,0.8344360000000001,0.0,ps2
fake_00053.pgm,0,1,0,0,1,0,0.8204370000000001,0.0,ps1+ice
fake_00054.pgm,0,1,0,0,0,0,0.8204370000000001,0.0,ps1
fake_00055.pgm,0,0,1,0,0,0,0.642,0.0,ps2
fake_00056.pgm,0,0,1,0,1,1,0.669397,0.0,ps2+ice+badice
fake_00057.pgm,0,0,1,0,0,0,0.649271,0.0,ps2
fake_00058.pgm,0,1,1,1,0,0,0.622891,0.8723989999999999,ps1+ps2+multi
fake_00059.pgm,0,1,1,1,0,0,0.595711,0.8589559999999999,ps1+ps2+multi
fake_00060.pgm,0,0,1,0,0,0,0.917809,0.0,ps2
fake_00061.pgm,0,1,0,1,1,1,0.5064960000000001,0.566733,ps1+multi+ice+badice
fake_00062.pgm,0,1,0,0,1,0,0.50452,0.0,ps1+ice
